"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/App.js", "JavaScript", 374, 0, 0, 0, 0, 17, 391
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/README.md", "Markdown", 0, 0, 0, 25, 0, 13, 38
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/api/tmdb.js", "JavaScript", 157, 0, 0, 0, 6, 11, 174
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/app.json", "JSON", 0, 29, 0, 0, 0, 1, 30
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/assets/colors/GlobalStyles.js", "JavaScript", 28, 0, 0, 0, 0, 1, 29
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/CustomListItem.jsx", "JavaScript JSX", 0, 0, 163, 0, 3, 11, 177
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/ListHeader.jsx", "JavaScript JSX", 0, 0, 145, 0, 0, 5, 150
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/ListMovieItem.jsx", "JavaScript JSX", 0, 0, 146, 0, 1, 5, 152
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/ListOpened.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 5, 36
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/ListSearchMovie.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 6, 76
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/ModalAddList.jsx", "JavaScript JSX", 0, 0, 172, 0, 0, 11, 183
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/MovieCustomList.jsx", "JavaScript JSX", 0, 0, 76, 0, 1, 9, 86
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/MovieCustomListItem.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 4, 75
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/CustomLists/MovieModal.jsx", "JavaScript JSX", 0, 0, 300, 0, 2, 15, 317
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/HomeComponents/HomeMovies.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 3, 50
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/HomeComponents/SearchMovies.js", "JavaScript", 69, 0, 0, 0, 0, 6, 75
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/CastInfo.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 3, 63
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/ModalCategories.jsx", "JavaScript JSX", 0, 0, 150, 0, 1, 9, 160
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/MovieItem.js", "JavaScript", 95, 0, 0, 0, 0, 6, 101
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/MovieList.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 3, 29
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/MovieListItem.jsx", "JavaScript JSX", 0, 0, 162, 0, 0, 6, 168
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/MovieSomeDetails.jsx", "JavaScript JSX", 0, 0, 267, 0, 10, 19, 296
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/RatingInputModal.js", "JavaScript", 144, 0, 0, 0, 1, 12, 157
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/MoviesComponents/SimilarMovies.jsx", "JavaScript JSX", 0, 0, 97, 0, 0, 4, 101
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/DeleteFavoriteAlert.js", "JavaScript", 116, 0, 0, 0, 0, 3, 119
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/FavMovieModal.jsx", "JavaScript JSX", 0, 0, 262, 0, 2, 12, 276
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/FavoriteList.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 7, 70
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/FavoriteMoviesProfile.jsx", "JavaScript JSX", 0, 0, 108, 0, 0, 7, 115
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/GenresStat.js", "JavaScript", 195, 0, 0, 0, 8, 17, 220
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/ProfileHeader.jsx", "JavaScript JSX", 0, 0, 171, 0, 1, 7, 179
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/ProfilePictureSelector.js", "JavaScript", 359, 0, 0, 0, 12, 25, 396
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/SectionPressable.jsx", "JavaScript JSX", 0, 0, 42, 0, 0, 4, 46
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/SimpleStat.js", "JavaScript", 59, 0, 0, 0, 0, 3, 62
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/StatsContainer.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 3, 53
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/AddCustomListButton.js", "JavaScript", 38, 0, 0, 0, 1, 4, 43
